Abdi	Abdirahman	Tucson
Kevin	Cramer	Bothell
Michael/Mike	Crapo	Woodinville
Eric/Rick	Crawford	Issaquah
Dan	Crenshaw	Bellevue
Charlie	Crist	Bellevue
Jason	Crow	Bellevue
Ted	Cruz	Kirkland
Henry	Cuellar	Issaquah
Alan	Culpepper	Lafayette
John	Curtis	Kirkland
Steve	Daines	Mukilteo
Sharice	Davids	Bothell
Warren	Davidson	Redmond
Danny	Davis	Clyde Hill
Rodney	Davis	Redmond
Colleen	De Reuck	Denver
Madeleine	Dean	Issaquah
Peter	DeFazio	Clyde Hill
Diana	DeGette	Kirkland
Rosa	DeLauro	Kirkland
Suzan	DelBene	Seattle
Antonio	Delgado	Kirkland
Val	Demings	Mercer Island
Mark	DeSaulnier	Renton
Scott	DesJarlais	Sammamish
Theodore/Ted	Deutch	Bellevue
Mario	Diaz-Balart	Kenmore
Debbie	Dingell	Redmond
Lloyd	Doggett	Kirkland
Byron	Donalds	Redmond
Michael	Doyle	Burien
Elva	Dryer	Gunnison
Tammy	Duckworth	Issaquah
Jeff	Duncan	Burien
Neal	Dunn	Bellevue
Richard	Durbin	Bellevue
Jake	Ellzey	Redmond
Tom	Emmer	Sammamish
Joni	Ernst	Woodinville
Veronica	Escobar	Bellevue
Anna	Eshoo	Kenmore
Adriano	Espaillat	Bellevue
Ron	Estes	Sammamish
Dwight	Evans	Kirkland
Patrick	Fallon	Kirkland
Randy	Feenstra	Lake Forest Park
Dianne	Feinstein	Sammamish
A.	Ferguson	Duvall
Michelle	Fischbach	Redmond
Deb	Fischer	Bothell
Scott	Fitzgerald	Bellevue
Brian	Fitzpatrick	Kenmore
Charles/Chuck	Fleischmann	Seattle
Lizzie	Fletcher	Bellevue
Jeff	Fortenberry	Bothell
Bill	Foster	Redmond
Virginia	Foxx	Bellevue
Lois	Frankel	Sammamish
C.	Franklin	Bellevue
Donnie	Franzen	Chicago
Russ	Fulcher	Bothell
Matt	Gaetz	woodinville
Mike	Gallagher	Kirkland
Ruben	Gallego	Redmond
John	Garamendi	Kirkland
Andrew	Garbarino	REDMOND
Jesus/Chuy	Garcia	Woodinville
Sylvia	Garcia	Bellevue
Mike	Garcia	Bellevue
Bob	Gibbs	Kirkland
Kirsten	Gillibrand	Bellevue
Carlos	Gimenez	Newcastle
Louie	Gohmert	Sammamish
Jared	Golden	Bothell
Jimmy	Gomez	Redmond
Matthew	Gonzales	Albuquerque
Ernest	Gonzales	Sammamish
Vicente	Gonzalez	Kenmore
Anthony	Gonzalez	Bellevue
Jenniffer	Gonzalez-Colon	Burien
Robert	Good	Sammamish
Lance	Gooden	Bothell
Paul	Gosar	Auburn
Josh	Gottheimer	Kirkland
Lindsey	Graham	Bellevue
Kay	Granger	Redmond
Charles/Chuck	Grassley	Kirkland
Sam	Graves	Redmond
Garret	Graves	Olympia
Al	Green	Redmond
Mark	Green	Woodinville
Marjorie	Greene	woodinville
H.	Griffith	Remond
Raul	Grijalva	Kirkland
Glenn	Grothman	Coral Gables
Michael	Guest	Wenatchee
Brett	Guthrie	Kirkland
Jim	Hagedorn	Duvall
Bill	Hagerty	Everett
Josh	Harder	Sammamish
Andy	Harris	Sammamish
Diana	Harshbarger	Sammamish
Jason	Hartmann	Boulder
Vicky	Hartzler	Sammamish
Maggie	Hassan	Woodinville
Joshua	Hawley	Bothell
Jahana	Hayes	Redmond
Martin	Heinrich	Sammamish
Kevin	Hern	Sammamish
Yvette	Herrell	Redmond
Jaime	Herrera Beutler	Kirkland
Jody	Hice	Kirkland
John	Hickenlooper	North Bend
Brian	Higgins	Snoqualmie
Clay	Higgins	Redmond
J.	Hill	Mukilteo
James/Jim	Himes	Snoqualmie
Ashley	Hinson	Mill Creek
Mazie	Hirono	Bainbridge Island
John	Hoeven	Bothell
Trey	Hollingsworth	Seattle
Steven	Horsford	Bainbridge Island
Chrissy	Houlahan	Issaquah
Steny	Hoyer	Redmond
Richard	Hudson	Redmond
Jared	Huffman	Issaquah
Bill	Huizenga	Sammamish
Mbarak	Hussein	Albuquerque
Cindy	Hyde-Smith	Redmond
James/Jim	Inhofe	Mill Creek
Darrell	Issa	Bellevue
Ronny	Jackson	Mill Creek
Sheila	Jackson Lee	Bellevue
Chris	Jacobs	Redmond
Sara	Jacobs	Lynnwood
Pramila	Jayapal	Bellevue
Hakeem	Jeffries	Redmond
Bill	Johnson	Redmond
Eddie	Johnson	Bellevue
Henry/Hank	Johnson	Bellevue
Ron	Johnson	Redmond
Mike	Johnson	Woodinville
Dusty	Johnson	Duvall
Mondaire	Jones	Issaquah
Jim	Jordan	Redmond
David	Joyce	Redmond
John	Joyce	Bellevue
Kaiali'i	Kahele	North Bend
Tim	Kaine	Renton
Marcy	Kaptur	Kirkland
John	Katko	Bellevue
William	Keating	Kirkland
Meb	Keflezighi	San Diego
Fred	Keller	Kirkland
Mike	Kelly	Bothell
Robin	Kelly	Sammamish
Trent	Kelly	Kirkland
Mark	Kelly	REDMOND
John	Kennedy	Bellevue
Ro	Khanna	Kirkland
Daniel	Kildee	Lynnwood
Derek	Kilmer	Fall City
Andy	Kim	Des Moines
Young	Kim	Woodinville
Ron	Kind	Bothell
Angus	King	Redmond
Adam	Kinzinger	Bothell
Ann	Kirkpatrick	Bothell
Amy	Klobuchar	Olympia
Raja	Krishnamoorthi	Sammamish
Ann	Kuster	Redmond
David	Kustoff	Burien
Darin	LaHood	Woodinville
Doug	LaMalfa	Kirkland
Conor	Lamb	Remond
Doug	Lamborn	Woodinville
James/Jim	Langevin	Auburn
James	Lankford	Sammamish
Rick	Larsen	Sammamish
John	Larson	Sammamish
Robert	Latta	Bothell
Jacob	LaTurner	Lynnwood
Brenda	Lawrence	Redmond
Al	Lawson	Duvall
Patrick	Leahy	Bothell
Barbara	Lee	Kirkland
Mike	Lee	Bellevue
Susie	Lee	Issaquah
Teresa	Leger Fernandez	Redmond
Debbie	Lesko	Kirkland
Julia	Letlow	Redmond
Mike	Levin	Redmond
Andy	Levin	Issaquah
Ted	Lieu	Bothell
Zoe	Lofgren	Kirkland
Billy	Long	Issaquah
Barry	Loudermilk	Sammamish
Alan	Lowenthal	Carnation
Frank	Lucas	Duvall
Blaine	Luetkemeyer	Redmond
Ben	Lujan	Duvall
Cynthia	Lummis	REDMOND
Elaine	Luria	Yakima
Stephen	Lynch	Redmond
Nancy	Mace	Mercer Island
Tom	Malinowski	Redmond
Nicole	Malliotakis	Kirkland
Carolyn	Maloney	Sammamish
Sean	Maloney	Bellevue
Joe	Manchin	Woodinville
Tracey	Mann	Sammamish
Kathy	Manning	Kirkland
Ed	Markey	Bellevue
Roger	Marshall	Redmond
Thomas	Massie	Kirkland
Brian	Mast	Kirkland
Doris	Matsui	Bellevue
Lucy	McBath	Kirkland
Kevin	McCarthy	Wenatchee
Michael	McCaul	Kirkland
Lisa	McClain	Redmond
Tom	McClintock	Seattle
Betty	McCollum	Des Moines
Mitch	McConnell	Mill Creek
A.	McEachin	Bothell
Jim	McGovern	Des Moines
Patrick	McHenry	Redmond
David	McKinley	Redmond
Jerry	McNerney	Seattle
Gregory	Meeks	Kirkland
Peter	Meijer	Snoqualmie
Robert	Menendez	Kirkland
Grace	Meng	Bothell
Jeff	Merkley	Kent
Daniel	Meuser	Bellevue
Kweisi	Mfume	Renton
Carol	Miller	Redmond
Mary	Miller	Kirkland
Mariannette	Miller-Meeks	Mill Creek
John	Moolenaar	Kirkland
Alexander	Mooney	Bellevue
Gwen	Moore	Bellevue
Barry	Moore	Sammamish
Blake	Moore	Redmond
Jerry	Moran	Issaquah
Joseph	Morelle	Sammamish
Seth	Moulton	Kirkland
Frank	Mrvan	Redmond
Markwayne	Mullin	Bellevue
Lisa	Murkowski	Issaquah
Christopher	Murphy	Bellevue
Stephanie	Murphy	Redmond
Gregory	Murphy	Bothell
Patty	Murray	Bellevue
Jerrold	Nadler	Seattle
Grace	Napolitano	Seattle
Richard	Neal	Duvall
Joe	Neguse	Bellevue
Troy	Nehls	Redmond
Dan	Newhouse	Sammamish
Marie	Newman	Redmond
Donald	Norcross	Redmond
Ralph	Norman	Auburn
Eleanor	Norton	Kenmore
Devin	Nunes	Bothell
Jay	Obernolte	Bothell
Alexandria	Ocasio-Cortez	Seattle
Tom	O'Halleran	Bellevue
Ilhan	Omar	Bellevue
Kate	O'Neill	Palo Alto
Jon	Ossoff	Lynnwood
Clarence/Burgess	Owens	Redmond
Alejandro	Padilla	Redmond
Steven	Palazzo	Woodinville
Frank	Pallone	Bellevue
Gary	Palmer	Mukilteo
Jimmy	Panetta	Kirkland
Chris	Pappas	Seattle
Bill	Pascrell	Redmond
Justin	Patananan	Palmdale
Rand	Paul	Bothell
Donald	Payne	Kirkland
Nancy	Pelosi	Bellevue
Greg	Pence	Sammamish
Ed	Perlmutter	Bellevue
Scott	Perry	Woodinville
Gary	Peters	Sammamish
Scott	Peters	Redmond
August	Pfluger	Carnation
Dean	Phillips	Sammamish
Chellie	Pingree	Bellevue
Stacey	Plaskett	Seattle
Mark	Pocan	Lake Stevens
Katie	Porter	Bellevue
Rob	Portman	Bellevue
Bill	Posey	Yakima
Ayanna	Pressley	Kirkland
David	Price	Yakima
Mike	Quigley	Redmond
Aumua Amata	Radewagen	Bellevue
Jamie	Raskin	Issaquah
John/Jack	Reed	Seattle
Tom	Reed	Redmond
Guy	Reschenthaler	Seattle
Tom	Rice	Kirkland
Kathleen	Rice	Sammamish
James	Risch	Sammamish
Dathan	Ritzenhein	Eugene
Cathy	Rodgers	Issaquah
Hal	Rogers	Bellevue
Mike	Rogers	Bellevue
Joshua	Rohatinsky	Portland
Mitt	Romney	Woodinville
John	Rose	Bothell
Jacky	Rosen	Kirkland
Matthew	Rosendale	Seattle
Deborah	Ross	Kirkland
Mike	Rounds	Woodinville
David	Rouzer	Seattle
Chip	Roy	Sammamish
Lucille	Roybal-Allard	Redmond
Marco	Rubio	KIRKLAND
Raul	Ruiz	Sammamish
Marla	Runyan	Eugene
C.	Ruppersberger	Seattle
Bobby	Rush	Bothell
John	Rutherford	Bellevue
Tim	Ryan	Woodinville
Gregorio	Sablan	Bothell
Maria	Salazar	Newcastle
Michael	San Nicolas	Bothell
Linda	Sanchez	Lynnwood
Bernard/Bernie	Sanders	Kirkland
John	Sarbanes	Kirkland
Ben	Sasse	Kirkland
Steve	Scalise	Bothell
Mary	Scanlon	Kirkland
Jan	Schakowsky	Bothell
Brian	Schatz	Kirkland
Adam	Schiff	Renton
Brad	Schneider	Redmond
Kurt	Schrader	Bellevue
Kim	Schrier	Bellevue
Chuck	Schumer	Bellevue
David	Schweikert	Redmond
Austin	Scott	REDMOND
David	Scott	REDMOND
Bobby	Scott	Bellevue
Tim	Scott	Bellevue
Rick	Scott	KIRKLAND
Pete	Sessions	Bellevue
Terri	Sewell	Redmond
Jeanne	Shaheen	Coral Gables
Aaron	Sharp	Port Hueneme
Richard	Shelby	Redmond
Brad	Sherman	North Bend
Mikie	Sherrill	Redmond
Mike	Simpson	Everett
Kyrsten	Sinema	Kirkland
Albio	Sires	Sammamish
Elissa	Slotkin	Kirkland
Adam	Smith	Sammamish
Adrian	Smith	Bothell
Chris	Smith	Woodinville
Jason	Smith	Mercer Island
Tina	Smith	Redmond
Lloyd	Smucker	Kirkland
Darren	Soto	Mercer Island
Abigail	Spanberger	Redmond
Victoria	Spartz	Sammamish
Jackie	Speier	Lynnwood
Debbie	Stabenow	Redmond
Melanie	Stansbury	Bothell
Greg	Stanton	Redmond
Pete	Stauber	Bellevue
Michelle	Steel	Lynnwood
Elise	Stefanik	Bellevue
Bryan	Steil	Bellevue
W.	Steube	Kirkland
Haley	Stevens	Duvall
Chris	Stewart	Renton
Marilyn	Strickland	Seattle
Dan	Sullivan	Woodinville
Thomas	Suozzi	Sammamish
Eric	Swalwell	Kirkland
Mark	Takano	Kirkland
Van	Taylor	Redmond
Claudia	Tenney	Mukilteo
Jon	Tester	Redmond
Bennie	Thompson	Lynnwood
Mike	Thompson	bellevue
Glenn	Thompson	Bellevue
John	Thune	Redmond
Thomas	Tiffany	Bellevue
Thom	Tillis	Woodinville
William	Timmons	Seattle
Dina	Titus	Redmond
Rashida	Tlaib	Redmond
Paul	Tonko	Newcastle
Pat	Toomey	Newcastle
Norma	Torres	Woodenville
Ritchie	Torres	Kirkland
Lori	Trahan	Bothell
David	Trone	Bellevue
Tommy	Tuberville	Redmond
Michael	Turner	Newcastle
Lauren	Underwood	Sammamish
Fred	Upton	Bellevue
David	Valadao	Redmond
Jefferson	Van Drew	Des Moines
Beth	Van Duyne	Issaquah
Chris	Van Hollen	Bellevue
Juan	Vargas	Mill Creek
Marc	Veasey	Kirkland
Filemon	Vela	Carnation
Nydia	Velazquez	woodinville
Ann	Wagner	Woodinville
Tim	Walberg	North Bend
Jackie	Walorski	Sammamish
Michael	Waltz	Redmond
Mark	Warner	Bellevue
Raphael	Warnock	Woodinville
Elizabeth	Warren	Bellevue
Debbie	Wasserman Schultz	Mill Creek
Maxine	Waters	Mill Creek
Bonnie	Watson Coleman	Kirkland
Randy	Weber	Kirkland
Daniel	Webster	Lake Forest Park
Chris	Wehrman	Chicago
Peter	Welch	Redmond
Brad	Wenstrup	Kenmore
Bruce	Westerman	Redmond
Jennifer	Wexton	Redmond
Sheldon	Whitehouse	Sammamish
Roger	Wicker	Kirkland
Susan	Wild	Snoqualmie
Roger	Williams	Kirkland
Nikema	Williams	Newcastle
Joe	Wilson	Kirkland
Frederica	Wilson	Redmond
Robert	Wittman	Sammamish
Steve	Womack	Sammamish
Ron	Wyden	Lynnwood
John	Yarmuth	Redmond
Don	Young	Snoqualmie
Todd	Young	Normandy Park
Lee	Zeldin	Seattle
